_id,username,followers_count,friends_count,favourites_count,statuses_count
5ed04a23682cbc70de4c4e5a,BC__Innovate,1267,4245,21016,13389
5ed04a25682cbc70de4c4e65,Msnisi09,14,101,80,27
5ed04a26682cbc70de4c4e70,footienut247,33,340,3204,3155
5ed04a28682cbc70de4c4e7b,Stallion_Team2,156128,156031,148950,333971
5ed04a2b682cbc70de4c4e91,ClimateChangePa,1886,2075,0,36736
5ed04a2c682cbc70de4c4e9c,hanibear93,1116,1269,17049,19629
5ed04a2e682cbc70de4c4ea7,2905jimjamy,173,1632,1208,2656
5ed04a2f682cbc70de4c4eb2,firstsite,12679,4390,6265,10604
5ed04a32682cbc70de4c4ec8,alxiba_afsana,3,178,677,213
5ed04a34682cbc70de4c4ed3,poupouch48,19385,496,275490,296718
5ed04a35682cbc70de4c4ede,chakaal28,250,503,8679,4110
5ed04a38682cbc70de4c4ef4,akotopam,164,0,169,8323
5ed04a3a682cbc70de4c4eff,DulceMarLoynaz,334,253,23149,18557
5ed04a3b682cbc70de4c4f0a,PolishRoyalGoat,9567,1928,114785,101405
5ed04a3e682cbc70de4c4f20,U2_News,16651,128,1722,26027
5ed04a4b682cbc70de4c4f2b,PolishRoyalGoat,9567,1928,114785,101405
5ed04a4c682cbc70de4c4f36,stevelwpalmer,235,264,2865,6105
5ed04a4e682cbc70de4c4f41,PolishRoyalGoat,9567,1928,114785,101405
5ed04a50682cbc70de4c4f4c,ChoicePremiums,106,323,131,488
5ed04a51682cbc70de4c4f57,PolishRoyalGoat,9567,1928,114785,101405
5ed04a53682cbc70de4c4f60,UnknownTuber1,8,225,6,8
5ed04a55682cbc70de4c4f6b,PolishRoyalGoat,9567,1928,114785,101405
5ed04a56682cbc70de4c4f76,LongwoodsNotes,2996,1515,51,6927
5ed04a58682cbc70de4c4f81,srt8982,188,692,305,3827
5ed04a59682cbc70de4c4f8c,kana_surfergirl,73,145,3702,1751
5ed04a5b682cbc70de4c4f97,nazifidawud,127,317,391,2682
5ed04a5f682cbc70de4c4fb8,JuveAcademyScot,530,663,1799,1097
5ed04a61682cbc70de4c4fc3,imstrawbella,31,67,200,106
5ed04a63682cbc70de4c4fc5,TempleD87626452,0,0,0,1
5ed04a64682cbc70de4c4fd0,Buzzfm897,1662,308,660,26172
5ed04a65682cbc70de4c4fdb,paulalameda,163,96,33,464
5ed04a67682cbc70de4c4fe6,Triteflower2020,219,326,6694,41040
5ed04a68682cbc70de4c4ff1,ObiCheChe1,358,1040,23994,5979
5ed04a6a682cbc70de4c4ffc,spaincultureus,152144,1231,4849,5915
5ed04a6b682cbc70de4c5007,fvsu_dining,496,676,16,3411
5ed04a6d682cbc70de4c5012,YunierViada,271,296,4628,11612
5ed04a6f682cbc70de4c501d,BussienJill,79,433,5683,10214
5ed04a71682cbc70de4c5028,bsudipta05x,921,2277,7206,220824
5ed04a72682cbc70de4c5033,bakagamiii,620,662,9816,10725
5ed04a74682cbc70de4c503e,SFZombie247,1150,1001,39683,163512
5ed04a76682cbc70de4c5049,Heavenlybot,7384,5932,209473,51106
5ed04a78682cbc70de4c5054,FloVilleminot,6320,496,2820,1334
5ed04a79682cbc70de4c505f,KelliherNHS,79,199,430,194
5ed04a7b682cbc70de4c506a,Warwickshire_CC,14586,835,2188,26165
5ed04a7d682cbc70de4c5075,UKtoUSmomma,322,678,24453,9610
5ed04a7e682cbc70de4c5080,bitrix24,4402,677,1012,6778
5ed04a80682cbc70de4c508b,SPJffrson,84,109,256,13873
5ed04a82682cbc70de4c5096,paragingle_GGMU,327,467,26587,49746
5ed04a83682cbc70de4c50a1,MaridelManaloXx,626,192,13317,91407
5ed04a85682cbc70de4c50ac,dromedarshop,21,100,18,25142
5ed04a87682cbc70de4c50b7,thecricketmen,440,381,814,2713
5ed04a88682cbc70de4c50c2,Andrew_Ryan19,101,642,142,1796
5ed04a8a682cbc70de4c50cd,GabrielConstans,22098,22096,29835,239219
5ed04a8b682cbc70de4c50d8,MrJaijo,275,848,1099,1428
5ed04a8d682cbc70de4c50e3,hsingh212_,58,378,17573,3187
5ed04a8e682cbc70de4c50ee,Cyrenians1968,7584,4898,6427,10780
5ed04a90682cbc70de4c50f9,BirgittaDE2,310,302,66075,39386
5ed04a92682cbc70de4c5104,cyclocrossjake,491,525,15209,4940
5ed04a93682cbc70de4c510f,Buzzfm897,1662,308,660,26172
5ed04a95682cbc70de4c511a,AndrewMannUK,74,164,4090,1992
5ed04a96682cbc70de4c5125,BIGDADDYC0OL,277,1372,42748,18959
5ed04a98682cbc70de4c5130,Faris2011ksa,669,294,16484,13133
5ed04a99682cbc70de4c513b,pankapitaa,1,83,1381,764
5ed04a9b682cbc70de4c5146,legendarysauce2,294,257,3693,11705
5ed04a9c682cbc70de4c5151,matt_songwiqi,1015,1781,113187,23616
5ed04a9e682cbc70de4c515c,joylis_,720,516,10024,13069
5ed04aa0682cbc70de4c5167,ardeaint,1429,4106,691,4360
5ed04aa1682cbc70de4c5172,_superhero1,936,143,756,740
5ed04aa3682cbc70de4c517d,Mayor_Bowman,69812,5595,13886,28247
5ed04aa5682cbc70de4c5188,VanDykInsurance,22,58,17,84
5ed04aa6682cbc70de4c5193,CMP_4U,322926,14177,165729,789858
5ed04aa8682cbc70de4c519e,allhaleanna,891,886,10012,25878
5ed04aac682cbc70de4c51b4,EmTSuss,5614,1495,1966,6886
5ed04aad682cbc70de4c51bf,DomestikaEn,336,75,835,914
5ed04aaf682cbc70de4c51ca,nora_lafarga,33,219,6062,1384
5ed04ab1682cbc70de4c51d5,iosolofede,830,1135,33504,17463
5ed04ab3682cbc70de4c51e0,Tonobouy,223,178,775,24929
5ed04ab4682cbc70de4c51eb,JohnMartini3,4030,3299,12252,59144
5ed04ab6682cbc70de4c51f6,happyeggshaped,8720,6855,251633,151100
5ed04ab7682cbc70de4c5201,fladog82,89,121,4244,1163
5ed04ab9682cbc70de4c520c,kojo_jhase,669,1155,16774,14865
5ed04aba682cbc70de4c5217,JustinKernoghan,1776,1313,2547,2559
5ed04abc682cbc70de4c5222,MGAdining,163,53,41,1483
5ed04abe682cbc70de4c522d,BryanBarclay,140,337,1069,195
5ed04abf682cbc70de4c5238,IntelRegion,966,23,8449,1378
5ed04ac0682cbc70de4c5243,sfdb,1744,784,8021,102432
5ed04ac2682cbc70de4c524e,GGiggias,2,2,4,378
5ed04ac4682cbc70de4c5259,VamosTheatre,3261,1683,2421,6139
5ed04ac6682cbc70de4c5264,ChuiSansPapier,108,107,17211,2954
5ed04ac7682cbc70de4c526f,CrOwnSphMinX,1405,4871,12956,28124
5ed04ac9682cbc70de4c527a,BirgittaDE2,310,302,66075,39386
5ed04aca682cbc70de4c5285,Mick__geek,1467,2888,26281,19440
5ed04acc682cbc70de4c5290,Buzzfm897,1662,308,660,26172
5ed04ace682cbc70de4c529b,KrunoCrazy,1950,2082,84015,88156
5ed04acf682cbc70de4c52a6,brummyOT,245,721,1641,422
5ed04ad1682cbc70de4c52b1,tobicious_abhay,3555,2930,49693,14186
5ed04ad4682cbc70de4c52c7,Macaodah1,90,275,1490,1973
5ed04ad5682cbc70de4c52d2,RichmondTram,2110,1749,21071,20571
5ed04ad7682cbc70de4c52dd,KBloor,1956,917,1516,4518
5ed04ada682cbc70de4c52f3,samy45,1016,4998,31148,353560
5ed04adb682cbc70de4c52fe,dromedarshop,21,100,18,25142
5ed04add682cbc70de4c5309,ben_tby,272,954,3048,1239
5ed04ade682cbc70de4c5314,Terai15679,51,2389,1787,4460
5ed04ae0682cbc70de4c531f,MasterKGE,526,1853,47788,49708
5ed04ae1682cbc70de4c532a,HaziqBotakBonch,521,345,7961,54645